movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Negated Search Query,Search Method
213,1035,680,49,116,17,71,58,137,41,22,20,24,4,18,4,11,1,0,1,7,0,1,0,trafficone,Post-Retrieval-Filteration_0.06
1019,1426,2617,28,1041,92,385,190,181,154,75,45,23,34,25,8,13,3,0,4,8,2,1,1,adult,Post-Retrieval-Filteration_0.06
880,1399,1995,33,1038,65,282,153,208,149,72,17,29,27,34,6,11,4,1,5,4,0,1,0,car,Post-Retrieval-Filteration_0.06
1011,1481,2651,33,994,86,351,192,186,146,65,22,23,34,25,8,13,3,0,5,7,0,1,1,truck,Post-Retrieval-Filteration_0.06
1005,1437,2546,33,1032,90,377,166,170,164,75,46,23,29,24,8,7,5,0,3,7,2,1,0,motorcycle,Post-Retrieval-Filteration_0.06
971,1401,2653,31,1062,91,402,148,133,142,74,49,21,25,22,6,4,5,0,4,6,2,1,0,bicycle,Post-Retrieval-Filteration_0.06
964,1478,2679,31,903,96,383,187,187,132,63,46,23,31,22,8,13,3,0,4,5,2,0,1,construction_worker,Post-Retrieval-Filteration_0.06
916,1459,2895,34,981,104,442,199,187,137,63,23,12,32,31,5,10,2,0,4,7,0,0,0,construction,Post-Retrieval-Filteration_0.06
1002,1456,2673,32,1019,93,381,193,185,151,74,40,23,34,25,8,13,3,0,5,8,2,1,1,trailer,Post-Retrieval-Filteration_0.06
1016,1480,2656,30,1032,97,398,174,148,162,75,47,22,30,20,6,8,5,0,4,7,2,1,1,bicyle_rack,Post-Retrieval-Filteration_0.06
1023,1426,2621,34,1027,91,386,191,174,150,73,44,23,34,23,6,13,3,0,5,8,1,1,1,police_officer,Post-Retrieval-Filteration_0.06
1021,1426,2623,32,1041,92,385,190,181,154,76,45,23,34,25,8,13,3,0,4,8,2,1,1,child,Post-Retrieval-Filteration_0.06
1022,1425,2628,33,1040,92,386,190,180,154,76,45,23,34,25,8,13,3,0,4,7,2,1,1,stroller,Post-Retrieval-Filteration_0.06
1020,1414,2623,32,1041,92,385,188,181,154,76,45,23,33,25,8,13,3,0,4,8,2,1,1,animal,Post-Retrieval-Filteration_0.06
896,1399,2219,32,943,86,307,170,193,149,67,25,31,31,33,7,5,6,0,3,8,0,1,0,police car,Post-Retrieval-Filteration_0.06
979,1448,2578,33,1000,89,364,184,174,158,72,42,23,31,25,8,13,3,0,5,5,0,1,1,ambulance,Post-Retrieval-Filteration_0.06
