airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,Negated Search Query,Search Method
526,1071,1007,1039,1116,1056,1094,1050,1014,1027,airplane,Post-Retrieval-Filteration_0.06
557,1064,1000,1035,1115,1046,1084,1043,1035,1021,airplane,Post-Retrieval-Filteration_0.07
592,1057,1000,1030,1110,1037,1079,1041,1037,1017,airplane,Post-Retrieval-Filteration_0.08
1018,514,1068,1078,1146,1088,1132,1079,1063,814, automobile,Post-Retrieval-Filteration_0.06
1004,592,1040,1055,1125,1072,1111,1061,1068,872, automobile,Post-Retrieval-Filteration_0.07
995,673,1014,1040,1116,1049,1088,1051,1048,926, automobile,Post-Retrieval-Filteration_0.08
1062,1427,380,1022,498,1109,573,1192,1360,1377,bird,Post-Retrieval-Filteration_0.06
1075,1241,368,1094,735,1139,793,1161,1201,1193,bird,Post-Retrieval-Filteration_0.07
1040,1124,367,1069,1009,1098,983,1095,1108,1107,bird,Post-Retrieval-Filteration_0.08
1406,1568,817,598,603,640,519,876,1521,1452,cat,Post-Retrieval-Filteration_0.06
1244,1321,1053,543,885,631,737,1041,1281,1264,cat,Post-Retrieval-Filteration_0.07
1112,1178,1062,539,1011,783,933,1093,1144,1145,cat,Post-Retrieval-Filteration_0.08
1079,1140,1019,1075,350,1069,1091,950,1112,1115,deer,Post-Retrieval-Filteration_0.06
1030,1099,1050,1060,400,1070,1108,1021,1087,1075,deer,Post-Retrieval-Filteration_0.07
1012,1091,1042,1055,449,1066,1105,1049,1078,1053,deer,Post-Retrieval-Filteration_0.08
1361,1426,1093,730,437,566,804,725,1452,1406,dog,Post-Retrieval-Filteration_0.06
1242,1318,1141,766,634,550,990,818,1272,1269,dog,Post-Retrieval-Filteration_0.07
1133,1189,1109,856,850,534,1067,943,1154,1165,dog,Post-Retrieval-Filteration_0.08
1137,1197,773,1033,996,1052,322,1148,1171,1171,frog,Post-Retrieval-Filteration_0.06
1068,1122,932,1050,1065,1095,360,1097,1108,1103,frog,Post-Retrieval-Filteration_0.07
1027,1097,1001,1055,1101,1084,403,1073,1085,1074,frog,Post-Retrieval-Filteration_0.08
1101,1171,1055,1095,640,1033,1144,484,1137,1140,horse,Post-Retrieval-Filteration_0.06
1042,1105,1051,1073,863,1064,1130,492,1093,1087,horse,Post-Retrieval-Filteration_0.07
1011,1090,1039,1054,978,1063,1110,525,1077,1053,horse,Post-Retrieval-Filteration_0.08
822,1094,1062,1073,1135,1087,1107,1075,543,1002,ship,Post-Retrieval-Filteration_0.06
939,1072,1022,1044,1116,1058,1087,1051,581,1030,ship,Post-Retrieval-Filteration_0.07
972,1063,1007,1035,1114,1045,1082,1044,615,1023,ship,Post-Retrieval-Filteration_0.08
969,913,1016,1040,1116,1052,1088,1050,1015,741,truck,Post-Retrieval-Filteration_0.06
980,971,1001,1023,1108,1029,1070,1038,1023,757,truck,Post-Retrieval-Filteration_0.07
981,995,991,1017,1102,1022,1056,1036,1021,779,truck,Post-Retrieval-Filteration_0.08
