airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,Negated Search Query
243,250,1235,1522,1661,1045,1188,1375,348,1133,airplane
536,5,1807,1157,2039,653,2645,317,235,606, automobile
972,1417,375,965,290,926,265,1051,1250,2489,bird
1398,2771,382,431,305,384,263,502,1465,2099,cat
1094,1363,480,969,325,803,442,906,1119,2499,deer
1377,1578,592,545,215,334,316,409,2316,2318,dog
698,2533,256,659,379,774,102,905,1215,2479,frog
1337,1549,392,732,291,553,289,541,1735,2581,horse
201,460,2351,965,1225,1589,810,1255,96,1048,ship
282,292,2130,1053,831,1405,1764,937,313,993,truck
